date,hour,minute,city_area,ufo_shape,description,longitude,latitude,weekdats,month_name
2012-02-25,06,20,newark,other,Green laser lights in the sky simutaneosly and evenly shooting parallel to each other,-74.1727778,40.7355556,Saturday,February
2014-02-28,17,56,westfield,disk,Circles around jets.,-74.3477778,40.6588889,Friday,February
2014-02-28,21,30,winslow township,fireball,Small green fireball/light shoots straight down.,-74.86232,39.657356,Friday,February
2012-02-04,21,55,annandale,fireball,Slow moving&#44 silent orange fireball,-74.8816667,40.6408333,Saturday,February
2013-02-04,21,00,ocean city,light,2 Objects on bay between parkway exits 10 and 25.,-74.575,39.2775,Monday,February
2010-02-06,06,30,vernon,triangle,On 02/06/2010 at about 6:30 pm while driveing on canastere rd going from Highland lakes to rockaway &#44NJ &#44I witnessed a very large craft,-74.4836111,41.1983333,Saturday,February
2012-02-06,12,15,brick,rectangle,A solid white retangular object&#44  floated soundlessly across the sky&#44 then almost stopped&#44 then shot into the sky disappearing. 500,-74.137183,40.057838,Monday,February
2012-02-07,17,00,edison,circle,2 UFOs seen over New Jersey,-74.4125,40.5186111,Tuesday,February
2012-02-07,19,30,morganville,cylinder,Blimp-like object with a very LOUD engine/motor hovered over Morganville/Marlboro&#44 NJ last night.  ((NUFORC Note:  Blimp??  PD)),-74.2447222,40.3763889,Tuesday,February
2014-02-09,12,00,vineland,light,This was not the first time that I seen this&#44 the white ball of light between the trees and the red beam of lights.,-75.0261111,39.4861111,Sunday,February
2014-03-10,03,30,cherry hill,NA,Humming.,-75.0311111,39.9347222,Monday,March
2011-03-11,21,55,toms river,formation,three orange lights hovered over Barnegat Bay very still and then vanished.,-74.1983333,39.9536111,Friday,March
2011-03-11,22,00,lacey township,oval,5-6 giant bright oval shaped lights in perfect formation by Oyster Creek Power Plant&#44 NJ,-74.295144,39.872618,Friday,March
2011-03-11,22,33,waretown,oval,5 orange lights formed in perfect line southeast on Rt. 9 in Waretown NJ,-74.1955556,39.7913889,Friday,March
2014-03-12,18,00,hackensack,fireball,Glowing blue light vanishes in seconds.,-74.0438889,40.8858333,Wednesday,March
2014-03-15,15,30,hazlet,triangle,It was a V shaped craft moving at a speed west to east 3 to 4 times faster than any jet. Its V shape against the blue sky was clear.,-74.1913889,40.4155556,Saturday,March
2014-03-18,10,10,piscataway,oval,Oval shaped metal object seen following a wide-body aircraft and then disappearing with it at the same moment.,-74.3994444,40.4991667,Tuesday,March
2010-03-19,22,20,branchburg,triangle,I saw a blueish/greenish triangular shaped object flying for 2 seconds west over Route 22 in Branchburg NJ before disappearing.,-74.720556,40.554722,Friday,March
2011-03-19,19,45,ewing,oval,Floating object hovered then flew away very quickly.,-74.8002778,40.2697222,Saturday,March
2012-03-21,13,00,delmont,other,Large UFO observed by several inmates.,-74.9502778,39.2141667,Wednesday,March
2014-03-21,21,10,parsippany,triangle,It is a very clear night here in New Jersey. I was walking in my complex when I started to look up at the stars since they were so visi,-74.4263889,40.8577778,Friday,March
2013-03-22,21,35,toms river,light,UFO dancing in the Toms River NJ sky takes off at unbelievable speed.,-74.1983333,39.9536111,Friday,March
2013-03-22,22,00,dayton,fireball,Saw a shooting star but this object was bigger and brighter.,-74.5105556,40.3725,Friday,March
2012-03-23,02,10,lebanon,unknown,Very bright&#44 pulsing/flickering object&#44 flying in the Northern sky over NJ,-74.8363889,40.6416667,Friday,March
2012-03-23,21,00,south plainfield,flash,Saw a flash in the sky from a stationary point that eventually grew wider and fainter&#44 like a searchlight above the clouds.,-74.4119444,40.5791667,Friday,March
2012-03-24,00,10,somerville,sphere,3 Round orbs orange/orangey red in color hovering over central NJ,-74.6102778,40.5741667,Saturday,March
2011-03-25,11,15,atlantic city,oval,I&#39m on a bus and the craft was stationery as we went by. Other strange things have been going on in my legs as well. I have had another,-74.4233333,39.3641667,Friday,March
2011-03-25,21,00,egg harbor township,unknown,Small moving light extremely high in the sky.,-74.593889,39.391111,Friday,March
2012-03-25,03,30,elizabeth,NA,03:30 AM I was walking in dark section in Newark&#44 NJ&#44 &amp; in direction south&#44 in the sky&#44 on top Elizabeth City&#44 I saw unexplained lite a,-74.2111111,40.6638889,Sunday,March
2012-03-27,05,20,middlesex,light,Star like object  moving while watching Nasa&#39s Anomalous Transport Rocket Experiment (ATREX),-74.4930556,40.5725,Tuesday,March
2013-03-28,23,00,woodland park,circle,2 circles chasing each other in sky.,-74.3791667,40.7027778,Thursday,March
